county,area,lat,lon
"Hot Spring,AR",622,34.315177,-92.944147
"Howard,AR",595,34.083064,-93.990931
"Independence,AR",771,35.737499,-91.559942
"Izard,AR",583,36.094879,-91.913625
"Jackson,AR",641,35.596467,-91.223205
"Jefferson,AR",916,34.277239,-91.929673
"Johnson,AR",683,35.573359,-93.466322
"Lafayette,AR",546,33.240629,-93.611514
"Lawrence,AR",592,36.041098,-91.101153
"Lee,AR",622,34.779505,-90.779717
"Lincoln,AR",569,33.956385,-91.742355
"Little River,AR",563,33.701941,-94.236287
"Logan,AR",729,35.218654,-93.72091
"Lonoke,AR",803,34.755114,-91.894132
"Madison,AR",837,36.012545,-93.724053
"Marion,AR",640,36.266664,-92.678577
"Miller,AR",638,33.305505,-93.901502
"Mississippi,AR",929,35.766944,-90.052207
"Monroe,AR",621,34.679512,-91.20331
"Montgomery,AR",800,34.545656,-93.664153
"Nevada,AR",620,33.666699,-93.305072
"Newton,AR",823,35.910742,-93.215898
"Ouachita,AR",739,33.591168,-92.878413
"Perry,AR",560,34.946363,-92.926877
"Phillips,AR",727,34.423687,-90.855593
"Pike,AR",613,34.158191,-93.658659
"Poinsett,AR",763,35.56887,-90.681104
"Polk,AR",861,34.49096,-94.230894
"Pope,AR",830,35.456557,-93.026818
"Prairie,AR",675,34.831116,-91.55362
"Pulaski,AR",807,34.770311,-92.312996
"Randolph,AR",655,36.341298,-91.028441
"St. Francis,AR",642,35.022838,-90.751506
"Saline,AR",730,34.648525,-92.674463
"Scott,AR",898,34.858869,-94.063641
"Searcy,AR",668,35.896387,-92.695888
"Sebastian,AR",544,35.196981,-94.274989
"Sevier,AR",581,33.994877,-94.243279
"Sharp,AR",606,36.173399,-91.471069
"Stone,AR",609,35.857001,-92.140482
"Union,AR",1055,33.168219,-92.598145
"Van Buren,AR",723,35.582953,-92.515976
"Washington,AR",952,35.978001,-94.217269
"White,AR",1042,35.255118,-91.753034
"Woodruff,AR",594,35.192777,-91.244535
"Yell,AR",948,34.997713,-93.408303
"Alameda,CA",821,37.647139,-121.912488
"Alpine,CA",743,38.621783,-119.798352
"Amador,CA",605,38.443549,-120.653858
"Butte,CA",1677,39.665336,-121.603209
"Calaveras,CA",1036,38.191068,-120.554107
"Colusa,CA",1156,39.177739,-122.237563
"Contra Costa,CA",803,37.919479,-121.951543
"Del Norte,CA",1229,41.749903,-123.980998
"El Dorado,CA",1786,38.785612,-120.534225
"Fresno,CA",6011,36.761006,-119.655019
"Glenn,CA",1326,39.602546,-122.4017
"Humboldt,CA",4052,40.706655,-123.926176
"Imperial,CA",4480,33.040814,-115.3554
"Inyo,CA",10227,36.56216,-117.404209
"Kern,CA",8164,35.346629,-118.729506
"Kings,CA",1392,36.072478,-119.81553
"Lake,CA",1328,39.108009,-122.745217
"Lassen,CA",4720,40.715287,-120.621223
"Los Angeles,CA",4749,34.196398,-118.261862
"Madera,CA",2153,37.209821,-119.749802
"Marin,CA",828,38.051367,-122.746396
"Mariposa,CA",1462,37.574343,-119.911721
"Mendocino,CA",3878,39.432388,-123.442881
"Merced,CA",1978,37.194806,-120.722802
"Modoc,CA",4203,41.592918,-120.71837
"Mono,CA",3131,37.915836,-118.875167
"Monterey,CA",3771,36.240104,-121.315578
"Napa,CA",792,38.5071,-122.325904
"Nevada,CA",973,39.297508,-120.771343
"Orange,CA",949,33.675687,-117.777207
"Placer,CA",1502,39.062032,-120.722718
"Plumas,CA",2613,39.992295,-120.824371
"Riverside,CA",7303,33.729828,-116.002239
"Sacramento,CA",994,38.450136,-121.344329
"San Benito,CA",1390,36.611651,-121.085811
"San Bernardino,CA",20105,34.856661,-116.181571
"San Diego,CA",4525,33.023604,-116.776117
"San Francisco,CA",231,37.727239,-123.032229
"San Joaquin,CA",1426,37.934982,-121.272244
"San Luis Obispo,CA",3615,35.388189,-120.448897
"San Mateo,CA",740,37.414672,-122.371546
"Santa Barbara,CA",3787,34.536677,-120.038364
"Santa Clara,CA",1304,37.221614,-121.68954
"Santa Cruz,CA",607,37.012347,-122.007789
"Shasta,CA",3847,40.760514,-122.043556
"Sierra,CA",962,39.576925,-120.521993
"Siskiyou,CA",6347,41.587986,-122.533287
"Solano,CA",906,38.267226,-121.939594
"Sonoma,CA",1767,38.525182,-122.92611
"Stanislaus,CA",1514,37.562316,-121.002831
"Sutter,CA",608,39.03619,-121.70394
"Tehama,CA",2962,40.126157,-122.232274
"Trinity,CA",3207,40.647858,-123.114666
"Tulare,CA",4838,36.228834,-118.781055
"Tuolumne,CA",2274,38.021434,-119.964733
"Ventura,CA",2206,34.358748,-119.133145
"Yolo,CA",1021,38.679609,-121.90275
"Yuba,CA",644,39.27013,-121.344259
"Adams,CO",1183,39.874325,-104.331872
"Alamosa,CO",723,37.568442,-105.788041
"Arapahoe,CO",805,39.644554,-104.331706
"Archuleta,CO",1355,37.202395,-107.050863
"Baca,CO",2557,37.30978,-102.543741
"Bent,CO",1541,37.931891,-103.077584
"Boulder,CO",740,40.094966,-105.397702
"Broomfield,CO",33,39.953593,-105.050787
"Chaffee,CO",1014,38.734599,-106.300025
"Cheyenne,CO",1781,38.835646,-102.601791
"Clear Creek,CO",396,39.689403,-105.670783
"Conejos,CO",1290,37.213406,-106.176447
"Costilla,CO",1231,37.277547,-105.42894
"Crowley,CO",800,38.30618,-103.772736
"Custer,CO",739,38.101996,-105.373512
"Delta,CO",1148,38.861423,-107.865043
"Denver,CO",154,39.76185,-104.881105
"Dolores,CO",1068,37.733823,-108.506219
"Douglas,CO",843,39.325414,-104.925987
"Eagle,CO",1691,39.626992,-106.695169
"Elbert,CO",1850,39.315157,-104.114076
"El Paso,CO",2129,38.827383,-104.527472
"Fremont,CO",1534,38.45517,-105.424958
"Garfield,CO",2955,39.599352,-107.90978
"Gilpin,CO",150,39.861156,-105.528878
"Grand,CO",1869,40.113065,-106.110837
"Gunnison,CO",3259,38.670499,-107.05688
"Hinsdale,CO",1123,37.811519,-107.383974
"Huerfano,CO",1593,37.687815,-104.959928
"Jackson,CO",1620,40.663432,-106.329248
"Jefferson,CO",774,39.579511,-105.245462
"Kiowa,CO",1785,38.387663,-102.756849
"Kit Carson,CO",2161,39.30534,-102.603023
"Lake,CO",383,39.205341,-106.350079
"La Plata,CO",1699,37.287367,-107.839718
"Larimer,CO",2633,40.658093,-105.486764
"Las Animas,CO",4775,37.318831,-104.04411
"Lincoln,CO",2586,38.99374,-103.507555
"Logan,CO",1844,40.728091,-103.090464
"Mesa,CO",3341,39.019524,-108.460571
"Mineral,CO",877,37.549067,-107.003236
"Moffat,CO",4750,40.610864,-108.217154
"Montezuma,CO",2039,37.338025,-108.595786
"Montrose,CO",2242,38.407507,-108.266282
"Morgan,CO",1293,40.263159,-103.81221
"Otero,CO",1269,37.88417,-103.72126
"Ouray,CO",542,38.154731,-107.78848
"Park,CO",2210,39.118914,-105.717648
"Phillips,CO",688,40.594712,-102.345105
"Pitkin,CO",973,39.217541,-106.916162
"Prowers,CO",1644,37.958181,-102.392161
"Pueblo,CO",2397,38.162765,-104.484668
"Rio Blanco,CO",3222,39.972622,-108.200716
"Rio Grande,CO",912,37.485853,-106.453128
"Routt,CO",2368,40.483664,-106.987702
"Saguache,CO",3170,38.031651,-106.234666
"San Juan,CO",388,37.781049,-107.670257
"San Miguel,CO",1288,38.009319,-108.427263
"Sedgwick,CO",549,40.871568,-102.355358
"Summit,CO",619,39.621023,-106.137555
"Teller,CO",559,38.869976,-105.187365
"Washington,CO",2523,39.96579,-103.209744
"Weld,CO",4016,40.555961,-104.383666
"Yuma,CO",2368,40.00077,-102.421649
"Capitol Planning Region,CT",1046,41.81697,-72.575886
"Greater Bridgeport Planning Region,CT",238,41.184558,-73.209401
"Lower Connecticut River Valley Planning Region,CT",517,41.420307,-72.493525
"Naugatuck Valley Planning Region,CT",421,41.518931,-73.087906
"Northeastern Connecticut Planning Region,CT",563,41.842375,-71.972655
"Northwest Hills Planning Region,CT",808,41.854809,-73.221494
"South Central Connecticut Planning Region,CT",619,41.290167,-72.837024
"Southeastern Connecticut Planning Region,CT",681,41.484769,-72.101666
"Western Connecticut Planning Region,CT",648,41.279055,-73.44655
"Kent,DE",798,39.097088,-75.502982
"New Castle,DE",494,39.575915,-75.644132
"Sussex,DE",1196,38.673227,-75.337024
"District of Columbia,DC",68,38.904247,-77.016517
"Alachua,FL",968,29.67574,-82.357221
"Baker,FL",588,30.324442,-82.302284
"Bay,FL",1466,30.15914,-85.534395
"Bradford,FL",300,29.952386,-82.166698
"Brevard,FL",1557,28.298311,-80.700333
"Broward,FL",1308,26.193535,-80.476683
"Calhoun,FL",574,30.388801,-85.197915
"Charlotte,FL",947,26.906396,-82.003657
"Citrus,FL",960,28.850292,-82.595552
"Clay,FL",643,29.986584,-81.865036
"Collier,FL",2605,26.118786,-81.400955
"Columbia,FL",801,30.221651,-82.623371
"DeSoto,FL",639,27.190581,-81.806253
"Dixie,FL",1043,29.552675,-83.236232
"Duval,FL",918,30.335245,-81.648113
"Escambia,FL",1125,30.529998,-87.320322
"Flagler,FL",570,29.474891,-81.286253
"Franklin,FL",1421,29.677794,-84.815213
"Gadsden,FL",528,30.578687,-84.612607
"Gilchrist,FL",355,29.723456,-82.795801
"Glades,FL",987,26.95481,-81.19082
"Gulf,FL",794,29.859238,-85.272013
"Hamilton,FL",519,30.498438,-82.951116
"Hardee,FL",638,27.492846,-81.82158
"Hendry,FL",1189,26.539967,-81.152114
"Hernando,FL",715,28.555995,-82.525969
"Highlands,FL",1106,27.34108,-81.342353
"Hillsborough,FL",1327,27.893154,-82.379991
"Holmes,FL",489,30.862007,-85.815939
"Indian River,FL",616,27.700528,-80.574789
"Jackson,FL",954,30.789249,-85.208814
"Jefferson,FL",672,30.396898,-83.921761
"Lafayette,FL",547,29.990066,-83.17851
"Lake,FL",1156,28.764113,-81.712282
"Lee,FL",1514,26.563273,-81.984182
"Leon,FL",701,30.45931,-84.2778
"Levy,FL",1590,29.271854,-82.831233
"Liberty,FL",843,30.259849,-84.86858
"Madison,FL",715,30.447233,-83.470416
"Manatee,FL",964,27.475556,-82.393144
"Marion,FL",1662,29.202805,-82.0431
"Martin,FL",753,27.083604,-80.398201
"Miami-Dade,FL",2389,25.616009,-80.50375
"Monroe,FL",5289,25.58612,-81.022603
"Nassau,FL",725,30.605963,-81.765087
"Okaloosa,FL",1246,30.614325,-86.59108
"Okeechobee,FL",892,27.385592,-80.887388
"Orange,FL",1003,28.514391,-81.323284
"Osceola,FL",1505,28.059027,-81.139312
"Palm Beach,FL",2383,26.649126,-80.448354
"Pasco,FL",1014,28.309823,-82.511006
"Pinellas,FL",866,27.905342,-82.798066
"Polk,FL",2010,27.953685,-81.693493
"Putnam,FL",826,29.593896,-81.732039
"St. Johns,FL",821,29.890487,-81.40004
"St. Lucie,FL",688,27.379814,-80.443536
"Santa Rosa,FL",1222,30.675348,-87.018919
"Sarasota,FL",975,27.225327,-82.423714
"Seminole,FL",345,28.690065,-81.131975
"Sumter,FL",579,28.713976,-82.069684
"Suwannee,FL",692,30.189244,-82.992754
"Taylor,FL",1511,29.967146,-83.639573
"Union,FL",249,30.05428,-82.366918
"Volusia,FL",1432,29.057769,-81.161792
"Wakulla,FL",916,30.091335,-84.359111
"Walton,FL",1409,30.571247,-86.162798
"Washington,FL",615,30.602102,-85.655805
"Appling,GA",512,31.739712,-82.290103
"Atkinson,GA",344,31.296806,-82.878151
"Bacon,GA",285,31.55021,-82.451433
"Baker,GA",349,31.31958,-84.454881
"Baldwin,GA",268,33.05949,-83.255457
"Banks,GA",234,34.351922,-83.498441
"Barrow,GA",162,33.992009,-83.712303
"Bartow,GA",469,34.240917,-84.838188
"Ben Hill,GA",253,31.740772,-83.147197
"Berrien,GA",457,31.288652,-83.22787
"Bibb,GA",254,32.808845,-83.694194
"Bleckley,GA",219,32.435403,-83.331717
"Brantley,GA",447,31.197334,-81.982978
"Brooks,GA",497,30.822934,-83.581905
"Bryan,GA",454,32.017969,-81.438543
"Bulloch,GA",688,32.394481,-81.741618
"Burke,GA",834,33.060181,-82.000164
"Butts,GA",188,33.290355,-83.958221
"Calhoun,GA",283,31.521279,-84.62629
"Camden,GA",781,30.913358,-81.642019
"Candler,GA",248,32.40395,-82.071266
"Carroll,GA",503,33.582237,-85.080527
"Catoosa,GA",162,34.900212,-85.139385
"Charlton,GA",782,30.779904,-82.139644
"Chatham,GA",629,31.980404,-81.085184
"Chattahoochee,GA",251,32.347445,-84.788021
"Chattooga,GA",313,34.474178,-85.345289
"Cherokee,GA",434,34.244317,-84.475057
"Clarke,GA",121,33.952185,-83.367152
"Clay,GA",217,31.619831,-84.992583
"Clayton,GA",144,33.551603,-84.412868
"Clinch,GA",823,30.917653,-82.702614
"Cobb,GA",344,33.939926,-84.57411
"Coffee,GA",602,31.549245,-82.84494
"Colquitt,GA",556,31.189707,-83.769773
"Columbia,GA",307,33.552075,-82.249608
"Cook,GA",233,31.152516,-83.429445
"Coweta,GA",445,33.352897,-84.762138
"Crawford,GA",326,32.709428,-83.979187
"Crisp,GA",280,31.920268,-83.75653
"Dade,GA",174,34.852424,-85.506201
"Dawson,GA",214,34.442608,-84.173261
"Decatur,GA",623,30.880643,-84.58389
"DeKalb,GA",271,33.770661,-84.226343
"Dodge,GA",503,32.164369,-83.167866
"Dooly,GA",397,32.151995,-83.807167
"Dougherty,GA",334,31.532588,-84.20904
"Douglas,GA",201,33.701242,-84.767314
"Early,GA",516,31.324191,-84.906723
"Echols,GA",420,30.714008,-82.897376
"Effingham,GA",482,32.361688,-81.343355
"Elbert,GA",374,34.116415,-82.841892
"Emanuel,GA",690,32.5911,-82.299763
"Evans,GA",186,32.153083,-81.890153
"Fannin,GA",392,34.866543,-84.317331
"Fayette,GA",199,33.412717,-84.493941
"Floyd,GA",518,34.26369,-85.213685
"Forsyth,GA",247,34.225143,-84.127408
"Franklin,GA",266,34.375266,-83.227532
"Fulton,GA",534,33.790034,-84.468182
"Gilmer,GA",430,34.690523,-84.454811
"Glascock,GA",144,33.227491,-82.606913
"Glynn,GA",585,31.21271,-81.49645
"Gordon,GA",358,34.509667,-84.873862
"Grady,GA",460,30.8759,-84.244965
"Greene,GA",406,33.576704,-83.166625
"Gwinnett,GA",437,33.958756,-84.025735
"Habersham,GA",279,34.634392,-83.525875
"Hall,GA",428,34.317569,-83.8185
"Hancock,GA",477,33.26922,-83.000465
"Haralson,GA",283,33.795165,-85.220063
"Harris,GA",472,32.731549,-84.912432
"Hart,GA",256,34.348733,-82.96329
"Heard,GA",301,33.291347,-85.137886
"Henry,GA",326,33.452947,-84.154021
"Houston,GA",379,32.458147,-83.662309
"Irwin,GA",362,31.604306,-83.277037
"Jackson,GA",342,34.130905,-83.562557
"Jasper,GA",373,33.316981,-83.689151
"Jeff Davis,GA",335,31.811615,-82.636825
"Jefferson,GA",529,33.058176,-82.420004
"Jenkins,GA",352,32.794563,-81.971524
"Johnson,GA",306,32.694584,-82.66397
"Jones,GA",395,33.021664,-83.562196
"Lamar,GA",185,33.07444,-84.146689
"Lanier,GA",199,31.038197,-83.063164
"Laurens,GA",818,32.39322,-82.926317
"Lee,GA",361,31.818419,-84.146681
"Liberty,GA",602,31.807458,-81.457871
"Lincoln,GA",257,33.792151,-82.448299
"Long,GA",403,31.749563,-81.74287
"Lowndes,GA",510,30.833145,-83.268995
"Lumpkin,GA",284,34.56814,-83.998925
"McDuffie,GA",266,33.480613,-82.479533
"McIntosh,GA",573,31.485629,-81.372141
"Macon,GA",406,32.362686,-84.051231
"Madison,GA",285,34.12748,-83.208653
"Marion,GA",367,32.359312,-84.528735
"Meriwether,GA",505,33.029267,-84.667058
"Miller,GA",283,31.162931,-84.730398
"Mitchell,GA",513,31.228997,-84.192038
"Monroe,GA",398,33.018784,-83.921837
"Montgomery,GA",244,32.172108,-82.533349
"Morgan,GA",354,33.598696,-83.499435
"Murray,GA",346,34.797097,-84.73799
"Muscogee,GA",221,32.510197,-84.874946
"Newton,GA",279,33.552751,-83.85136
"Oconee,GA",186,33.834125,-83.437728
"Oglethorpe,GA",442,33.866806,-83.074081
"Paulding,GA",314,33.92103,-84.867169
"Peach,GA",151,32.571324,-83.831978
"Pickens,GA",232,34.456746,-84.490351
"Pierce,GA",343,31.353998,-82.21037
"Pike,GA",219,33.081149,-84.389462
"Polk,GA",312,33.996015,-85.188338
"Pulaski,GA",251,32.238803,-83.481845
"Putnam,GA",360,33.32106,-83.37179
"Quitman,GA",160,31.862938,-85.004798
"Rabun,GA",377,34.883934,-83.40487
"Randolph,GA",430,31.762651,-84.752311
"Richmond,GA",328,33.361486,-82.074998
"Rockdale,GA",132,33.652081,-84.02637
"Schley,GA",167,32.263444,-84.322708
"Screven,GA",655,32.744751,-81.617585
"Seminole,GA",256,30.93396,-84.867685
"Spalding,GA",199,33.262348,-84.284905
"Stephens,GA",183,34.553582,-83.290588
"Stewart,GA",463,32.073225,-84.834912
"Sumter,GA",492,32.042266,-84.204294
"Talbot,GA",394,32.704603,-84.530029
"Taliaferro,GA",195,33.559319,-82.875272
"Tattnall,GA",488,32.043768,-82.059208
"Taylor,GA",379,32.554667,-84.251426
"Telfair,GA",444,31.913641,-82.931063
"Terrell,GA",337,31.777191,-84.439446
"Thomas,GA",552,30.864619,-83.919815
"Tift,GA",268,31.457003,-83.525931
"Toombs,GA",370,32.117753,-82.330597
"Towns,GA",171,34.902529,-83.732264
"Treutlen,GA",202,32.409586,-82.570882
"Troup,GA",445,33.034482,-85.02836
"Turner,GA",289,31.7248,-83.620319
"Twiggs,GA",362,32.665847,-83.425879
"Union,GA",329,34.833333,-83.989257
"Upson,GA",327,32.881837,-84.292283
"Walker,GA",446,34.735802,-85.305456
"Walton,GA",329,33.783887,-83.731829
"Ware,GA",907,31.050881,-82.421507
"Warren,GA",286,33.419169,-82.688012
"Washington,GA",684,32.971843,-82.798112
"Wayne,GA",648,31.547845,-81.912376
"Webster,GA",210,32.046691,-84.553828
"Wheeler,GA",300,32.105258,-82.733849
"White,GA",242,34.644182,-83.743
"Whitfield,GA",291,34.801726,-84.968541
"Wilcox,GA",382,31.96272,-83.438259
"Wilkes,GA",474,33.779031,-82.747921
"Wilkinson,GA",451,32.804266,-83.175512
"Worth,GA",574,31.551773,-83.84996
"Hawaii,HI",5086,19.597764,-155.502443
"Honolulu,HI",2166,21.461365,-158.201974
"Kalawao,HI",52,21.218764,-156.97401
"Kauai,HI",1266,22.012038,-159.705965
"Maui,HI",2398,20.855931,-156.60155
"Ada,ID",1060,43.451477,-116.244376
"Adams,ID",1369,44.877004,-116.461624
"Bannock,ID",1148,42.692921,-112.228982
"Bear Lake,ID",1049,42.285892,-111.327517
"Benewah,ID",784,47.218451,-116.633541
"Bingham,ID",2120,43.216357,-112.399206
"Blaine,ID",2654,43.394192,-113.955371
"Boise,ID",1906,43.987275,-115.71511
"Bonner,ID",1918,48.324634,-116.62745
"Bonneville,ID",1900,43.395171,-111.621878
"Boundary,ID",1278,48.773131,-116.524668
"Butte,ID",2238,43.685101,-113.177631
"Camas,ID",1078,43.502552,-114.772135
"Canyon,ID",603,43.625796,-116.709058
"Caribou,ID",1798,42.786072,-111.544273
"Cassia,ID",2580,42.282313,-113.626328
"Clark,ID",1764,44.290218,-112.354613
"Clearwater,ID",2488,46.67257,-115.6535
"Custer,ID",4938,44.273351,-114.252267
"Elmore,ID",3101,43.394698,-115.471205
"Franklin,ID",667,42.173609,-111.822965
"Fremont,ID",1896,44.218091,-111.484429
"Gem,ID",564,44.061473,-116.398784
"Gooding,ID",734,42.973185,-114.82142
"Idaho,ID",8503,45.849644,-115.467337
"Jefferson,ID",1105,43.796965,-112.318588
"Jerome,ID",602,42.691395,-114.262086
"Kootenai,ID",1308,47.675957,-116.695919
"Latah,ID",1076,46.81892,-116.730974
"Lemhi,ID",4569,44.928506,-113.887042
"Lewis,ID",479,46.236328,-116.42376
"Lincoln,ID",1205,42.990782,-114.153089
"Madison,ID",473,43.788614,-111.656993
"Minidoka,ID",762,42.857211,-113.63984
"Nez Perce,ID",856,46.333791,-116.760909
"Oneida,ID",1200,42.183895,-112.520449
"Owyhee,ID",7696,42.572851,-116.18969
"Payette,ID",410,44.00243,-116.750238
"Power,ID",1442,42.694126,-112.844407
"Shoshone,ID",2642,47.347694,-115.885092
"Teton,ID",450,43.760994,-111.211765
"Twin Falls,ID",1928,42.352309,-114.665639
"Valley,ID",3733,44.85596,-115.618061
"Washington,ID",1473,44.448223,-116.797792
"Adams,IL",871,39.986052,-91.194961
"Alexander,IL",252,37.183658,-89.349516
"Bond,IL",382,38.885924,-89.436592
"Boone,IL",282,42.318983,-88.824295
"Brown,IL",307,39.962069,-90.750309
"Bureau,IL",873,41.401304,-89.528377
"Calhoun,IL",283,39.164262,-90.666295
"Carroll,IL",466,42.0709,-89.924189
"Cass,IL",383,39.969202,-90.245704
"Champaign,IL",998,40.138985,-88.196975
"Christian,IL",715,39.545524,-89.279593
"Clark,IL",504,39.332334,-87.791683
"Clay,IL",469,38.746819,-88.482325
"Clinton,IL",503,38.606295,-89.426228
